Unnamed: 0,번호,제목,저자,출판사,출판일
,1,Analysis of zero-inflated clustered count data: A marginalized model approach,"Lee, K.; Joo, Y.; Song, J. J.; Harper, D. W.","Elsevier Science B.V., Amsterdam.",2011
,2,Data analysis on big data: improving the map and shuffle phases in Hadoop Map Reduce,"Lakshmi, J.V.N.",Inderscience,2018
,3,Panel data analysis: a survey on model-based clustering of time series,"Fruhwirth-Schnatter, S.",Springer Science + Business Media,2011
,4,Measurement error correction for the cumulative average model in the survival analysis of nutritional data: application to Nurses’ Health Study,"Qiu, W.; Rosner, B.",Springer Science + Business Media,2010
,5,Longitudinal Data Analysis: Nonstationary Error Structures and Antedependent Models,"Nunez Anton, V.",University of Ulster,1995
,6,Dynamic path analysis for event time data: large sample properties and inference,"Martinussen, T.",Springer Science + Business Media,2010
,7,Age-based analysis of automobile component failure data: a case study,"Aktar, Md. Shamim; Karim, Md. Rezaul",Inderscience,2016
,8,Bayesian survival analysis: comparison of survival probability of hormone receptor status for breast cancer data,"Avc?, Esin",Inderscience,2017
,9,Strategies evaluation in environmental conditions by symbolic data analysis: application in medicine and epidemiology to trachoma,"Guinot, C.; Malvy, D.; Schemann, J. F.; Afonso, F.; Haddad, R.; Diday, E.",Springer Science + Business Media,2015
,10,Principal component analysis-based frequent pattern evaluation on the object-relational data model of a cricket match database,"UmaMaheswari, P.; Rajaram, M.",Inderscience,2009
,11,ADAC special issue on “New Perspectives in Functional Data Analysis”,unknown,Springer Science + Business Media,2014
,12,Principal component analysis for probabilistic symbolic data: a more generic and accurate algorithm,"Chen, M.; Wang, H.; Qin, Z.",Springer Science + Business Media,2015
,13,Wavelets in functional data analysis: Estimation of multidimensional curves and their derivatives,"Pigoli, D.; Sangalli, L. M.","Elsevier Science B.V., Amsterdam.",2012
,14,Two types of single-peaked data: Correspondence analysis as an alternative to principal component analysis,"Polak, M.; Heiser, W. J.; de Rooij, M.","Elsevier Science B.V., Amsterdam.",2009
,15,Rank regression for analysis of clustered data: A natural induced smoothing approach,"Fu, L.; Wang, Y. G.; Bai, Z.","Elsevier Science B.V., Amsterdam.",2010
,16,Logistic regression in data analysis: an overview,"Maalouf, M.",Inderscience,2011
,17,Log-modified Weibull regression models with censored data: Sensitivity and residual analysis,"Carrasco, J. M.; Ortega, E. M.; Paula, G. A.","Elsevier Science B.V., Amsterdam.",2008
,18,Intra-cluster correlation structure in longitudinal data analysis: Selection criteria and misspecification tests,"Xu, J.; Wang, Y. G.","Elsevier Science B.V., Amsterdam.",2014
,19,Regression models for grouped survival data: Estimation and sensitivity analysis,"Hashimoto, E. M.; Ortega, E. M.; Paula, G. A.; Barreto, M. L.","Elsevier Science B.V., Amsterdam.",2011
,20,Combining quantitative trait loci analyses and microarray data: An empirical likelihood approach,"Wang, D.; Chen, S. X.","Elsevier Science B.V., Amsterdam.",2009
,21,"Modeling strategies in longitudinal data analysis: Covariate, variance function and correlation structure selection","Wang, Y. G.; Hin, L. Y.","Elsevier Science B.V., Amsterdam.",2010
,22,Feature selection in accident data: an analysis of its application in classification algorithms,"Sarkar, Amrita; Sahoo, G.; Sahoo, U.C.",Inderscience,2016
,23,Comparison Between Classical Factor Analysis and Spherical Data Analysis Application on Insurance Data,"Janssen, J.;Troussart, J.",University of Ulster,1995
,24,Analysis of mixed C-means clustering approach for brain tumour gene expression data,"Kumar, S.S.; Inbarani, H.H.",Inderscience,2013
,25,Analysis of Possibly Dependent Current Status Data,"Rossini, A. J.;Lindsey, J.;Ryan, L.",University of Ulster,1995
,26,Analysis of feature selection stability on high dimension and small sample data,"Dernoncourt, D.; Hanczar, B.; Zucker, J. D.","Elsevier Science B.V., Amsterdam.",2014
,27,Analysis of error-prone survival data under additive hazards models: measurement error effects and adjustments,"Yan, Y.; Yi, G. Y.",Springer Science + Business Media,2016
,28,Analysis of longitudinal health-related quality of life data with terminal events,"Jin, Z.; Liu, M.; Albert, S.; Ying, Z.",Springer Science + Business Media,2006
,29,Analysis of multivariate survival data with Clayton regression models under conditional and marginal formulations,"He, W.","Elsevier Science B.V., Amsterdam.",2014
,30,Analysis of left truncated and right censored competing risks data,"Kundu, Debasis; Mitra, Debanjan; Ganguly, Ayon","Elsevier Science B.V., Amsterdam.",2017
,31,Analysis of longitudinal data with intermittent missing values using the stochastic EM algorithm,"Gad, A. M.; Ahmed, A. S.","Elsevier Science B.V., Amsterdam.",2006
,32,Data Analysis in the 21st Century,"Goodman, A.; Kamath, C.; Kumar, V.","JOHN WILEY & SONS, LTD",2008
,33,"Analysis of quality-of-life adjusted failure time data in the presence of competing, possibly informative, censoring mechanisms","Rotnitzky, A.; Bergesio, A.; Farall, A.",Springer Science + Business Media,2009
,34,Analysis of space-time relational data with application to legislative voting,"Salazar, E.; Dunson, D. B.; Carin, L.","Elsevier Science B.V., Amsterdam.",2013
,35,Analysis of longitudinal data with covariate measurement error and missing responses: An improved unbiased estimating equation,"Lin, Huiming; Qin, Guoyou; Zhang, Jiajia; Zhu, Zhongyi","Elsevier Science B.V., Amsterdam.",2018
,36,Analysis of Type-II progressively hybrid censored data,"Kundu, D.; Joarder, A.","Elsevier Science B.V., Amsterdam.",2006
,37,"Analysis of EEG data using optimization, statistics, and dynamical system techniques","Pardalos, P. M.; Yatsenko, V.; Sackellares, J. C.; Shiau, D. S.; Chaovalitwongse, W.; Iasemidis, L. D.","Elsevier Science B.V., Amsterdam.",2003
,38,Analysis of cure rate survival data under proportional odds model,"Gu, Y.; Sinha, D.; Banerjee, S.",Springer Science + Business Media,2011
,39,Data analysis using regression models with missing observations and long-memory: an application study,"Iglesias, P.; Jorquera, H.; Palma, W.","Elsevier Science B.V., Amsterdam.",2006
,40,Analysis of two-phase sampling data with semiparametric additive hazards models,"Sun, Y.; Qian, X.; Shou, Q.; Gilbert, P. B.",Springer Science + Business Media,2017
,41,Data analysis with fuzzy clustering methods,"Doring, C.; Lesot, M. J.; Kruse, R.","Elsevier Science B.V., Amsterdam.",2006
,42,Analysis of multivariate longitudinal data using ARMA Cholesky and hypersphere decompositions,"Lee, Keunbaik; Lee, Chang-Hoon; Kwak, Min-Sun; Jang, Eun Jin","Elsevier Science B.V., Amsterdam.",2021
,43,Application of model selection technique in chemogenomic data analysis,"Gao, X.; Lin, L.; Huang, Y.","JOHN WILEY & SONS, LTD",2009
,44,Marginal Analysis For Clustered Failure Time Data,"Lu, S. E.; Wang, M. C.",Springer Science + Business Media,2005
,45,Extreme-value analysis of teletraffic data,"Tsourti, Z.; Panaretos, J.","Elsevier Science B.V., Amsterdam.",2004
,46,Using artificial intelligence planning to automate science image data analysis,"Chien, S.",ELSEVIER,1999
,47,Comparisons of Test Statistics Arising from Marginal Analyses of Multivariate Survival Data,"Li, Q. H.; Lagakos, S. W.",Springer Science + Business Media,2004
,48,A transformation approach for the analysis of interval-censored failure time data,"Zhu, L.; Tong, X.; Sun, J.",Springer Science + Business Media,2008
,49,Exploratory data analysis and model criticism with posterior plots,"Naylor, J. C.; Tremayne, A. R.; Marriott, J. M.","Elsevier Science B.V., Amsterdam.",2010
,50,Welcome to Volume 3(2) of Intelligent Data Analysis,00,ELSEVIER,1999
,51,Exploratory data analysis for interval compositional data,"Hron, K.; Brito, P.; Filzmoser, P.",Springer Science + Business Media,2017
,52,Statistical analysis of bivariate failure time data with Marshall-Olkin Weibull models,"Li, Y.; Sun, J.; Song, S.","Elsevier Science B.V., Amsterdam.",2012
,53,Simple estimation procedures for regression analysis of interval-censored failure time data under the proportional hazards model,"Sun, J.; Feng, Y.; Zhao, H.",Springer Science + Business Media,2015
,54,Far beyond the classical data models: symbolic data analysis,"Noirhomme-Fraiture, M.; Brito, P.","John Wiley & Sons, Ltd",2011
,55,Regression analysis based on conditional likelihood approach under semi-competing risks data,"Hsieh, J. J.; Huang, Y. T.",Springer Science + Business Media,2012
,56,Welcome to Volume 3(3) of Intelligent Data Analysis journal!,"Famili, A.",ELSEVIER,1999
,57,Cladag 2015 special issue: selected papers on classification and data analysis,"Giudici, Paolo; Greselin, Francesca; Murphy, Thomas Brendan; Rampichini, Carla","John Wiley & Sons, Ltd",2017
,58,Regression analysis of multivariate current status data with auxiliary covariates under the additive hazards model,"Chen, Y.; Feng, Y.; Sun, J.","Elsevier Science B.V., Amsterdam.",2015
,59,Spatially adaptive semi-supervised learning with Gaussian processes for hyperspectral data analysis,"Jun, G.; Ghosh, J.","John Wiley & Sons, Ltd",2011
,60,Regression analysis for bivariate gap time with missing first gap time data,"Huang, C. H.; Chen, Y. H.",Springer Science + Business Media,2017
